record_type,id,category,title,objective,priority,status,details
audit_item,GAME-001,Jeux,Gestion réelle des parties,"Distinguer précisément victoire, défaite, abandon et partie non commencée.",critique,a_faire,"{""state_model"": [""created"", ""started"", ""won"", ""lost"", ""abandoned""], ""checklist"": [""Détection du début réel"", ""Victoire"", ""Défaite"", ""Abandon"", ""Fermeture du jeu"", ""Retour à l’index"", ""Rafraîchissement"", ""Remboursement éventuel"", ""Anti-triche Coins""]}"
audit_item,COIN-001,Coins,Portefeuille Coins,Garantir un solde cohérent sur l’ensemble de l’arcade.,critique,a_faire,"{""checklist"": [""Solde"", ""Coût des parties"", ""Récompenses"", ""Historique"", ""Victoire / défaite"", ""Abandon"", ""Stockage local"", ""Protection contre modification manuelle"", ""Configuration centralisée"", ""Préparation serveur / Supabase""]}"
audit_item,SEC-001,Sécurité,Sécurité avant production,Éviter les fuites de clés et comportements dangereux.,critique,a_faire,"{""checklist"": [""Aucune Private Key dans le frontend"", ""EmailJS correctement configuré"", ""Validation des formulaires"", ""Nettoyage des entrées utilisateur"", ""Gestion du pseudo"", ""Stockage local"", ""Future authentification"", ""Règles Supabase""]}"
audit_item,CAT-001,Catalogue,"Recherche, filtres et tri",Faciliter la découverte des jeux.,importante,a_faire,"{""checklist"": [""Barre de recherche"", ""Filtres"", ""Catégories"", ""Difficulté"", ""Tri"", ""Popularité"", ""Jeux récents"", ""Cartes lisibles"", ""Retour rapide vers l’arcade""], ""suggested_categories"": [""arcade"", ""reflexe"", ""memoire"", ""logique"", ""enigme"", ""strategie"", ""des"", ""rapidite""]}"
audit_item,STAT-001,Statistiques,Statistiques par jeu et catégorie,"Mesurer usage, difficulté et engagement.",importante,a_faire,"{""metrics"": [""parties"", ""victoires"", ""defaites"", ""abandons"", ""taux_reussite"", ""score_moyen"", ""meilleur_score"", ""temps_moyen"", ""popularite"", ""difficulte_observee""]}"
audit_item,LEAD-001,Leaderboard,Classements,Ajouter des classements cohérents et lisibles.,importante,a_faire,"{""checklist"": [""Classement global"", ""Classement par jeu"", ""Meilleur score"", ""Pseudo"", ""Statistiques"", ""Période éventuelle"", ""Popup / modale"", ""Responsive mobile"", ""Préparation serveur""]}"
audit_item,SHOP-001,Boutique,Boutique Arcade,Donner une utilité aux Coins sans pay-to-win.,importante,a_faire,"{""item_types"": [""theme"", ""skin"", ""avatar"", ""frame"", ""effect"", ""sound"", ""badge""], ""checklist"": [""Prix"", ""Contrôle du solde"", ""Achat"", ""Inventaire"", ""Objet équipé"", ""Anti-doublon"", ""Changement gratuit"", ""Aperçu avant achat""]}"
audit_item,FEED-001,Feedback,Signalement et avis utilisateur,Collecter et classer les problèmes et suggestions.,importante,a_faire,"{""fields"": [""pseudo"", ""type"", ""jeu"", ""urgence"", ""description"", ""email_optionnel""], ""feedback_types"": [""bug"", ""suggestion"", ""ui"", ""jeu"", ""profil"", ""coins"", ""boutique"", ""autre""], ""workflow"": [""nouveau"", ""a_verifier"", ""en_cours"", ""resolu""], ""delivery"": {""email_provider"": ""EmailJS"", ""local_fallback"": true}}"
audit_item,HOME-001,UX/UI,Accueil / Index,Clarifier l’entrée dans Francis Arcade.,importante,a_faire,"{""checklist"": [""CTA principal"", ""Recherche"", ""Filtres"", ""Coins visibles"", ""Pseudo / profil"", ""Boutique"", ""Paramètres"", ""Feedback"", ""Installation PWA"", ""Cohérence néon"", ""Responsive""]}"
audit_item,MENU-001,Jeux,Standardiser les menus des jeux,Créer une structure cohérente entre les jeux.,confort,a_faire,"{""menu_items"": [""Jouer"", ""Leaderboard"", ""Paramètres"", ""Règles"", ""Retour Arcade""]}"
audit_item,SET-001,Paramètres,Paramètres utilisateurs,Centraliser les préférences du joueur.,confort,a_faire,"{""settings"": [""son"", ""musique"", ""vibration"", ""volume"", ""animations"", ""theme"", ""reinitialisation""]}"
audit_item,STATE-001,UX/UI,États visuels,Uniformiser les réactions de l’interface.,confort,a_faire,"{""states"": [""hover"", ""focus"", ""active"", ""disabled"", ""loading"", ""success"", ""error"", ""locked"", ""purchased"", ""equipped""]}"
audit_item,MOB-001,Mobile,Expérience mobile,Rendre les jeux réellement agréables au tactile.,critique,a_faire,"{""checklist"": [""Commandes tactiles"", ""Boutons suffisamment grands"", ""Pas de hover indispensable"", ""Modales mobiles"", ""Clavier virtuel"", ""Scrolling"", ""Jeux petits écrans"", ""Orientation"", ""Vibration si supportée""]}"
audit_item,PWA-001,PWA,Installation PWA,Fiabiliser l’installation desktop et mobile.,importante,a_faire,"{""checklist"": [""Manifest"", ""Favicon"", ""Icônes 192x192"", ""Icônes 512x512"", ""Maskable"", ""Service Worker"", ""Cache"", ""Standalone"", ""Installation PC"", ""Android"", ""iOS""]}"
audit_item,PWA-002,PWA,Proposition d’installation,Ne pas harceler l’utilisateur.,confort,a_faire,"{""rules"": [""Ne pas afficher immédiatement"", ""Bouton Installer"", ""Bouton Plus tard"", ""Mémoriser le refus"", ""Délai avant nouvelle proposition"", ""Augmenter éventuellement le délai après plusieurs refus"", ""Ne plus proposer si déjà installée""]}"
audit_item,PROF-001,Comptes,Profil fictif actuel,Structurer le profil local avant l’auth complète.,importante,a_faire,"{""fields"": [""pseudo"", ""coins"", ""inventaire"", ""statistiques"", ""parametres"", ""historique""], ""storage"": ""localStorage""}"
audit_item,AUTH-001,Comptes,Futur compte utilisateur,Préparer une authentification complète.,future,backlog,"{""checklist"": [""Inscription"", ""Connexion"", ""Synchronisation"", ""Récupération profil"", ""Multi-appareils"", ""Statistiques globales"", ""Inventaire serveur"", ""Sécurité""]}"
audit_item,ADS-001,Monétisation,Rewarded Ads,Permettre de gagner des Coins sans créer un paywall.,future,backlog,"{""checklist"": [""Facultatif"", ""Récompense claire"", ""Limite quotidienne"", ""Validation de la pub"", ""Anti-farming"", ""Économie équilibrée""]}"
audit_item,PAY-001,Monétisation,PayPal / Soutien,Ajouter un soutien volontaire séparé des Coins.,future,backlog,"{""checklist"": [""Bouton Faire un don"", ""Section Soutenir le projet"", ""Interface discrète"", ""Aucune obligation pour jouer""]}"
audit_item,ECO-001,Économie,Équilibrage Coins,Créer une boucle agréable et potentiellement rentable.,importante,a_faire,"{""parameters"": [""coins_depart"", ""cout_partie"", ""recompense_victoire"", ""perte_defaite"", ""recompense_pub"", ""bonus_quotidien"", ""prix_boutique""], ""principle"": ""Un bon joueur doit pouvoir continuer à jouer longtemps sans être obligé de regarder des pubs.""}"
audit_item,NOTIF-001,Confort,Notifications,Donner un feedback clair sans surcharge.,confort,backlog,"{""types"": [""achat_reussi"", ""coins_gagnes"", ""record_battu"", ""succes"", ""erreur"", ""installation"", ""feedback_envoye""]}"
audit_item,PROG-001,Progression,Progression joueur,Créer de la rétention sans pay-to-win.,future,backlog,"{""features"": [""niveau"", ""xp"", ""badges"", ""succes"", ""series_victoires"", ""defis_quotidiens"", ""stats_personnelles""]}"
audit_item,DISC-001,Découverte,Découverte de jeux,Aider l’utilisateur à choisir rapidement.,confort,backlog,"{""features"": [""recommande"", ""jeu_aleatoire"", ""tendance"", ""nouveau"", ""difficile"", ""rapide"", ""je_ne_sais_pas_quoi_jouer""]}"
audit_item,ADMIN-001,Admin,Espace administrateur,"Centraliser supervision, statistiques et feedback.",future,backlog,"{""modules"": [""joueurs"", ""statistiques"", ""bugs"", ""feedback"", ""jeux"", ""coins"", ""boutique"", ""popularite"", ""abandons"", ""erreurs""], ""planned_actions"": [""view"", ""search"", ""filter"", ""create"", ""edit"", ""delete"", ""export_json"", ""export_csv"", ""import""]}"
audit_item,SUPA-001,Backend,Synchronisation Supabase,Passer progressivement du local au serveur.,future,backlog,"{""modules"": [""auth"", ""profils"", ""coins"", ""transactions"", ""scores"", ""statistiques"", ""feedback"", ""boutique"", ""inventaire""]}"
audit_item,FUT-001,Roadmap,Nouveaux systèmes,Préparer les versions futures.,future,backlog,"{""features"": [""defis"", ""tournois"", ""evenements"", ""recompenses_quotidiennes"", ""classements_saisonniers"", ""collections"", ""nouveaux_jeux""]}"
user_journey,journey_new,Parcours utilisateur,Nouveau joueur,Chaque étape doit être évidente sans explication externe.,,,"{""steps"": [""Arrivée"", ""Comprendre le site"", ""Choisir un pseudo"", ""Trouver un jeu"", ""Jouer"", ""Comprendre les Coins"", ""Retour Arcade""]}"
user_journey,journey_regular,Parcours utilisateur,Joueur régulier,Réduire les clics inutiles.,,,"{""steps"": [""Retour"", ""Voir profil / Coins"", ""Voir statistiques"", ""Choisir un jeu"", ""Jouer rapidement""]}"
user_journey,journey_mobile,Parcours utilisateur,Joueur mobile,Aucune friction mobile.,,,"{""steps"": [""Site"", ""Installation PWA éventuelle"", ""Jeu tactile"", ""Fin de partie"", ""Retour Arcade""]}"
user_journey,journey_no_coins,Parcours utilisateur,Joueur sans Coins,Éviter toute sensation de blocage ou de paywall agressif.,,,"{""steps"": [""Solde à 0"", ""Comprendre pourquoi"", ""Récupérer des Coins"", ""Rejouer""]}"
roadmap,roadmap_01,avant_mise_en_ligne,Audit bugs bloquants,,critique,backlog,"{""horizon"": ""avant_mise_en_ligne"", ""item"": ""Audit bugs bloquants"", ""priority"": ""critique""}"
roadmap,roadmap_02,avant_mise_en_ligne,Responsive et tactile,,critique,backlog,"{""horizon"": ""avant_mise_en_ligne"", ""item"": ""Responsive et tactile"", ""priority"": ""critique""}"
roadmap,roadmap_03,avant_mise_en_ligne,Gestion fiable des parties et Coins,,critique,backlog,"{""horizon"": ""avant_mise_en_ligne"", ""item"": ""Gestion fiable des parties et Coins"", ""priority"": ""critique""}"
roadmap,roadmap_04,v1.1_plus,"Recherche, filtres et difficulté",,importante,backlog,"{""horizon"": ""v1.1_plus"", ""item"": ""Recherche, filtres et difficulté"", ""priority"": ""importante""}"
roadmap,roadmap_05,v1.1_plus,Statistiques jeux / catégories,,importante,backlog,"{""horizon"": ""v1.1_plus"", ""item"": ""Statistiques jeux / catégories"", ""priority"": ""importante""}"
roadmap,roadmap_06,v1.1_plus,Boutique cosmétique,,importante,backlog,"{""horizon"": ""v1.1_plus"", ""item"": ""Boutique cosmétique"", ""priority"": ""importante""}"
roadmap,roadmap_07,v1.2,Comptes utilisateurs complets,,future,backlog,"{""horizon"": ""v1.2"", ""item"": ""Comptes utilisateurs complets"", ""priority"": ""future""}"
roadmap,roadmap_08,v1.2,Rewarded Ads,,future,backlog,"{""horizon"": ""v1.2"", ""item"": ""Rewarded Ads"", ""priority"": ""future""}"
roadmap,roadmap_09,v1.2,PayPal,,future,backlog,"{""horizon"": ""v1.2"", ""item"": ""PayPal"", ""priority"": ""future""}"
roadmap,roadmap_10,v1.3,Dashboard administrateur,,future,backlog,"{""horizon"": ""v1.3"", ""item"": ""Dashboard administrateur"", ""priority"": ""future""}"
roadmap,roadmap_11,v1.3,"Défis, succès et tournois",,future,backlog,"{""horizon"": ""v1.3"", ""item"": ""Défis, succès et tournois"", ""priority"": ""future""}"
admin_strategy,admin_data_strategy,Admin,Stratégie de données Admin,Gestion locale actuelle et migration future vers un CRUD persistant.,importante,a_faire,"{""current"": {""storage"": ""localStorage"", ""admin_profile_exists"": true, ""single_deployment"": true, ""branch"": ""main""}, ""short_term"": {""formats"": [""json"", ""csv""], ""actions"": [""view"", ""search"", ""filter"", ""create"", ""edit"", ""delete"", ""export"", ""import""], ""scope"": [""audit"", ""feedback"", ""jeux"", ""coins"", ""statistiques"", ""boutique"", ""leaderboard""]}, ""future"": {""backend"": ""Supabase / base serveur existante"", ""reason"": ""Obtenir un CRUD persistant, multi-appareils et sécurisé.""}}"
product_rule,product_rule,Produit,Règle produit,"À chaque nouvelle fonctionnalité, se demander : est-ce que cela rend réellement Francis Arcade plus agréable pour le joueur, ou est-ce que cela ajoute simplement de la complexité ?",,,
